0,1348,930,67,38
0,1000,11,20,31
0,1002,48,19,30
0,1005,82,20,31
0,960,59,20,32
0,979,401,22,41
0,1030,406,22,46
0,956,702,27,52
0,959,785,28,59
0,899,744,25,63
0,1052,641,25,47
0,802,912,56,69
0,637,964,72,33
0,591,870,30,60
0,537,744,46,43
0,212,971,68,34
1,1017,460,30,52
1,892,639,25,47
1,545,864,42,76
1,488,865,32,69
3,929,808,13,23
3,934,842,10,23
3,917,848,9,23
3,967,653,14,23
3,951,579,14,29
3,296,970,15,28
2,745,1002,12,15
3,827,752,26,10
3,829,791,24,16
3,828,805,27,15
3,827,847,25,9
3,828,858,26,10
3,826,870,24,7
3,827,880,25,9
2,917,850,9,10
2,934,839,10,14
2,930,809,10,14
2,966,651,14,16
2,952,588,12,10
